_id,city,city_area,gdp,province,reg_pop,resident_pop,builtup_area
80431f7a64c8a4f102204a665307e53f,南阳,26509,2866.82,河南,1183,1002,149.45
80431f7a64c8a4f102204a6707f53c4b,漳州,12874,2767.35,福建,502.08,498,65.65
80431f7a64c8a4f102204a68214b9563,德州,1752,2750.94,山东,587.27,574.23,148.9
80431f7a64c8a4f102204a6909a3121a,淮安,10030,2745.09,江苏,564.45,487.2,155
80431f7a64c8a4f102204a6a144a43a3,太原,6988,2735.34,山西,404.19,431.87,340
80431f7a64c8a4f102204a6b01c33520,常德,18190,2709.02,湖南,609.2,584.39,90.22
80431f7a64c8a4f102204a6c62721fb0,聊城,1710,2663.62,山东,622.34,597.06,98.7
80431f7a64c8a4f102204a6d31de2660,衡阳,15310,2601.57,湖南,790,733.75,113.53
80431f7a64c8a4f102204a6e2fe66e0c,*顺德,806,2586.6,广东,128.49,253.53,140
80431f7a64c8a4f102204a6f0200ccac,廊坊,6500,2473.86,河北,413.33,456.32,93.1
80431f7a64c8a4f102204a704a6314bb,芜湖,6026,2457.32,安徽,384.79,365.45,165
80431f7a64c8a4f102204a713ee4de2c,茂名,11445,2445.6,广东,785.84,608.08,120.39
80431f7a64c8a4f102204a72633fcaab,菏泽,1415,2400.96,山东,1003.06,850.03,99.6
80431f7a64c8a4f102204a731301104b,吉林,27711,2394.19,吉林,426.24,426.24,185
80431f7a64c8a4f102204a7425a7bec3,湛江,12490,2380,广东,822.96,724.14,108.95
80431f7a64c8a4f102204a7557856ef4,滨州,3763,2355.33,山东,389.07,385.9,138.3
80431f7a64c8a4f102204a761dfdca99,鞍山,9252,2337,辽宁,346,361.15,170.9
80431f7a64c8a4f102204a7745c15118,株洲,11262,2335.11,湖南,403.7,400.05,137.98
80431f7a64c8a4f102204a785ff02208,柳州,18597,2298.62,广西,381.62,390.46,184
80431f7a64c8a4f102204a79635d1c1e,江门,9541,2240,广东,391.41,451.95,150
80431f7a64c8a4f102204a7a7f3f7c55,许昌,4996,2171.16,河南,490,434,90
80431f7a64c8a4f102204a7b1f1772de,遵义,30763,2168.34,贵州,792.7,619.21,66
80431f7a64c8a4f102204a7c2f1403f8,连云港,7615,2160.64,江苏,530.56,447.37,206
80431f7a64c8a4f102204a7d7d44cd4e,宿迁,8524,2126.19,江苏,586.28,485.38,84.7
80431f7a64c8a4f102204a7e48b1e2a7,兰州市,13300,2095.99,甘肃,321.9,369.31,305.3
80431f7a64c8a4f102204a7f19d6f44d,周口,11959,2089.7,河南,1142,881,68.13
80431f7a64c8a4f102204a8069e755f2,湖州,5820,2084.26,浙江,263.71,295,102.9
80431f7a64c8a4f102204a8117d4df8c,枣庄,3076,2031,山东,407.77,387.8,149.3
80431f7a64c8a4f102204a82062ac658,珠海,1701,2025.4,广东,112.45,163.41,123.64
80431f7a64c8a4f102204a8373dcf83a,郴州,19388,2012.07,湖南,509.76,473.02,77.23
80431f7a64c8a4f102204a8466009be2,新乡,8249,1975.03,河南,607,572,114.79
80431f7a64c8a4f102204a8549a733bc,赣州,39380,1973.87,江西,960.63,854.71,141.4
80431f7a64c8a4f102204a86575c2b96,肇庆,15056,1970,广东,438.27,405.96,117.45
80431f7a64c8a4f102204a873f6d39b8,桂林,27809,1942.9,广西,528.97,494.04,99
80431f7a64c8a4f102204a887125d60c,焦作,4071,1926.08,河南,371,353,111.2
80431f7a64c8a4f102204a892d44171e,九江,18823,1902.68,江西,508.6,482.58,105.63
80431f7a64c8a4f102204a8a40c04ec3,揭阳,5240,1890,广东,701.68,605.89,129
80431f7a64c8a4f102204a8b1d0c4d20,信阳,18000,1879.67,河南,870,640,89
